timestamp,position,speed,angular_velocity
1748487624343,0.004251,0.004164,0.000000
1748487624352,0.004267,0.004164,0.000000
1748487624359,0.004281,0.004164,0.000000
1748487624367,0.004296,0.004164,0.000000
1748487624375,0.004311,0.004164,0.000000
1748487624383,0.004326,0.004164,0.000000
1748487624391,0.004341,0.004164,0.000000
1748487624399,0.004356,0.004164,0.000000
1748487624407,0.004371,0.004164,0.000000
1748487624415,0.004386,0.004164,0.000000
1748487624423,0.004403,0.004164,0.000000
1748487624431,0.004416,0.004164,0.000000
1748487624439,0.004432,0.004164,0.000000
1748487624447,0.004448,0.004164,0.000000
1748487624455,0.004462,0.004164,0.000000
1748487624463,0.004476,0.004164,0.000000
1748487624471,0.004512,0.003212,0.000000
1748487624479,0.004528,0.003212,0.000000
1748487624487,0.004544,0.003212,0.000000
1748487624495,0.004558,0.003212,0.000000
1748487624503,0.004573,0.003212,0.000000
1748487624511,0.004588,0.003212,0.000000
1748487624520,0.004602,0.003212,0.000000
1748487624527,0.004617,0.003212,0.000000
1748487624535,0.004632,0.003212,0.000000
1748487624543,0.004646,0.003212,0.000000
1748487624551,0.004661,0.003212,0.000000
1748487624559,0.004676,0.003212,0.000000
1748487624567,0.004690,0.003212,0.000000
1748487624575,0.004704,0.003212,0.000000
1748487624583,0.004719,0.003212,0.000000
1748487624591,0.004733,0.003212,0.000000
1748487624599,0.004747,0.003212,0.000000
1748487624607,0.004762,0.003212,0.000000
1748487624615,0.004776,0.003212,0.000000
1748487624623,0.004791,0.003212,0.000000
1748487624631,0.004806,0.003212,0.000000
1748487624639,0.004820,0.003212,0.000000
1748487624647,0.004834,0.003212,0.000000
1748487624655,0.004850,0.003212,0.000000
1748487624663,0.004864,0.003212,0.000000
1748487624671,0.005126,0.004363,0.000000
1748487624679,0.005141,0.004363,0.000000
1748487624687,0.005155,0.004363,0.000000
1748487624695,0.005170,0.004363,0.000000
1748487624703,0.005184,0.004363,0.000000
1748487624711,0.005199,0.004363,0.000000
1748487624719,0.005214,0.004363,0.000000
1748487624727,0.005228,0.004363,0.000000
1748487624735,0.005242,0.004363,0.000000
1748487624743,0.005257,0.004363,0.000000
1748487624752,0.005273,0.004363,0.000000
1748487624759,0.005287,0.004363,0.000000
1748487624767,0.005301,0.004363,0.000000
1748487624775,0.005316,0.004363,0.000000
1748487624783,0.005331,0.004363,0.000000
1748487624791,0.005346,0.004363,0.000000
1748487624799,0.005362,0.004363,0.000000
1748487624807,0.005377,0.004363,0.000000
1748487624815,0.005391,0.004363,0.000000
1748487624823,0.005406,0.004363,0.000000
1748487624831,0.005421,0.004363,0.000000
1748487624839,0.005437,0.004363,0.000000
1748487624847,0.005452,0.004363,0.000000
1748487624855,0.005468,0.004363,0.000000
1748487624863,0.005482,0.004363,0.000000
1748487624871,0.005437,0.001897,0.000000
1748487624879,0.005453,0.001897,0.000000
1748487624887,0.005468,0.001897,0.000000
1748487624895,0.005483,0.001897,0.000000
1748487624903,0.005499,0.001897,0.000000
1748487624911,0.005513,0.001897,0.000000
1748487624920,0.005529,0.001897,0.000000
1748487624927,0.005544,0.001897,0.000000
1748487624935,0.005560,0.001897,0.000000
1748487624943,0.005574,0.001897,0.000000
1748487624951,0.005589,0.001897,0.000000
1748487624959,0.005605,0.001897,0.000000
1748487624967,0.005620,0.001897,0.000000
1748487624975,0.005635,0.001897,0.000000
1748487624983,0.005650,0.001897,0.000000
1748487624991,0.005665,0.001897,0.000000
1748487624999,0.005680,0.001897,0.000000
1748487625007,0.005695,0.001897,0.000000
1748487625015,0.005710,0.001897,0.000000
1748487625023,0.005725,0.001897,0.000000
1748487625031,0.005739,0.001897,0.000000
1748487625039,0.005754,0.001897,0.000000
1748487625047,0.005769,0.001897,0.000000
1748487625055,0.005784,0.001897,0.000000
1748487625063,0.005799,0.001897,0.000000
1748487625071,0.006036,0.004221,0.000000
1748487625079,0.006052,0.004221,0.000000
1748487625087,0.006067,0.004221,0.000000
1748487625095,0.006082,0.004221,0.000000
1748487625103,0.006097,0.004221,0.000000
1748487625111,0.006113,0.004221,0.000000
1748487625119,0.006129,0.004221,0.000000
1748487625127,0.006144,0.004221,0.000000
1748487625135,0.006161,0.004221,0.000000
1748487625143,0.006178,0.004221,0.000000
1748487625151,0.006195,0.004221,0.000000
1748487625159,0.006211,0.004221,0.000000
1748487625167,0.006228,0.004221,0.000000
1748487625175,0.006245,0.004221,0.000000
1748487625183,0.006262,0.004221,0.000000
1748487625191,0.006279,0.004221,0.000000
1748487625199,0.006296,0.004221,0.000000
1748487625207,0.006313,0.004221,0.000000
1748487625215,0.006330,0.004221,0.000000
1748487625223,0.006348,0.004221,0.000000
1748487625232,0.006366,0.004221,0.000000
1748487625239,0.006380,0.004221,0.000000
1748487625247,0.006396,0.004221,0.000000
1748487625255,0.006411,0.004221,0.000000
1748487625263,0.006428,0.004221,0.000000
1748487625271,0.006443,0.004221,0.000000
1748487625279,0.006460,0.004221,0.000000
1748487625287,0.006175,0.002480,0.000000
1748487625295,0.006190,0.002480,0.000000
1748487625303,0.006205,0.002480,0.000000
1748487625311,0.006221,0.002480,0.000000
1748487625319,0.006239,0.002480,0.000000
1748487625327,0.006254,0.002480,0.000000
1748487625335,0.006270,0.002480,0.000000
1748487625343,0.006287,0.002480,0.000000
1748487625351,0.006303,0.002480,0.000000
1748487625359,0.006321,0.002480,0.000000
1748487625367,0.006338,0.002480,0.000000
1748487625375,0.006355,0.002480,0.000000
1748487625383,0.006372,0.002480,0.000000
1748487625391,0.006390,0.002480,0.000000
1748487625399,0.006408,0.002480,0.000000
1748487625407,0.006427,0.002480,0.000000
1748487625415,0.006445,0.002480,0.000000
1748487625423,0.006464,0.002480,0.000000
1748487625431,0.006481,0.002480,0.000000
1748487625439,0.006501,0.002480,0.000000
1748487625447,0.006521,0.002480,0.000000
1748487625455,0.006539,0.002480,0.000000
1748487625463,0.006558,0.002480,0.000000
1748487625471,0.006641,0.001865,0.000000
1748487625479,0.006661,0.001865,0.000000
1748487625487,0.006680,0.001865,0.000000
